Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
5,Size,shorts 5 in,41,12.20%,$356.15
shorts,Category,shorts on clearance,20,0.00%,$0.00
10,Size,size 10 leggings,38,15.79%,$539.00
leggings,Category,size 10 leggings,38,15.79%,$539.00
pants,Category,smooth fit pants,58,14.04%,"$1,608.00"
short,Length,snap-front performance short sleeve polo,20,10.00%,$294.00
Sonic pink,Color name,Sonic pink scu,52,5.88%,$318.60
pink,Color Family,Sonic pink scu,52,5.88%,$318.60
speed up,Collections,speed up high 4,35,20.00%,$541.00
4,Size,speed up high 4,35,20.00%,$541.00
speed up,Collections,speed up navy,49,18.75%,$519.00
navy,Color Family,speed up navy,49,18.75%,$519.00
speed up,Collections,speed up poolside,33,15.63%,$408.00
poolside,Color name,speed up poolside,33,15.63%,$408.00
speed up,Collections,speed up shorts 4 inch,39,27.78%,$674.65
shorts,Category,speed up shorts 4 inch,39,27.78%,$674.65
4,Size,speed up shorts 4 inch,39,27.78%,$674.65
strawberry milkshake,Color name,strawberry milkshake define,163,19.75%,"$3,658.00"
define,Collections,strawberry milkshake define,163,19.75%,"$3,658.00"
hiking,Activity,woman hiking,22,9.09%,$145.00
groove,Collections,super high rise groove,38,18.92%,$660.95
surge,Collections,surge joggers men,54,13.21%,$841.90
joggers,Category,surge joggers men,54,13.21%,$841.90
men,Gender,surge joggers men,54,13.21%,$841.90
surge,Collections,surge warm full zip,47,4.26%,$138.00
full,Size,surge warm full zip,47,4.26%,$138.00
swiftly,Collections,swiftly tech r,63,20.00%,$687.30
Swiftly,Collections,Swiftly tech shor,66,28.13%,"$1,309.00"
swiftly,Collections,swiftly tech shortsleeve shirt 20,360,40.23%,"$10,852.15"
20,Size,swiftly tech shortsleeve shirt 20,360,40.23%,"$10,852.15"
shirts,Category,t shirts for men,30,16.67%,$411.00
men,Gender,t shirts for men,30,16.67%,$411.00
long,Length,tank top long,34,8.82%,$134.00
Like a Cloud,Collections,Like a Cloud Longline Bra B/C *Ribbed,19,10.53%,$204.00
short,Length,tracker lr short,42,7.14%,$215.00
yoga,Activity,ribbed modal silk twist back yoga tank,19,10.53%,$127.00
we made too much,Category,we made too much short,36,5.56%,$88.00
short,Length,we made too much short,36,5.56%,$88.00
bike,Activity,woman bike short,35,8.57%,$127.00
short,Length,woman bike short,35,8.57%,$127.00
women,Category,women crossbody bags,38,21.62%,$354.00
crossbody bags,Attribute,women crossbody bags,38,21.62%,$354.00
bags,Category,women crossbody bags,38,21.62%,$354.00
women,Category,women fast and free shorts,28,7.14%,$234.00
shorts,Category,women fast and free shorts,28,7.14%,$234.00
women,Category,women golf pant,62,19.67%,"$1,538.00"
golf,Activity,women golf pant,62,19.67%,"$1,538.00"
women,Category,women run hat,38,7.89%,$86.00
shorts,Category,Women’s shorts 4,29,6.90%,$200.00
4,Size,Women’s shorts 4,29,6.90%,$200.00
workout,Activity,women’s workout tops,34,5.88%,$78.00
shorts,Category,womens clearance shorts,23,8.70%,$157.00
white,Color name,womens white hat,34,20.59%,$292.60
workout,Activity,womens workout shorts,39,7.69%,$181.00
shorts,Category,womens workout shorts,39,7.69%,$181.00
printed,Color Family,printed bras,10,11.11%,$107.00
full,Size,straight-leg mid-rise pant full length luxtreme,105,10.58%,"$1,085.00"
wunder train,Collections,wunder train hr crop 23”,35,14.29%,$409.00
wunder train,Collections,wunder train sports bra,67,14.06%,$548.30
7,Size,7 in shorts,41,7.32%,$255.00
shorts,Category,7 in shorts,41,7.32%,$255.00
9,Size,9 inch men’s shorts,30,20.00%,$498.00
shorts,Category,9 inch men’s shorts,30,20.00%,$498.00
ABC,Collections,ABC Bonded Twill Slim-Fit Pant,39,13.51%,$851.00
abc,Collections,abc classic fit pant 32,55,34.62%,"$2,371.35"
32,Size,abc classic fit pant 32,55,34.62%,"$2,371.35"
abc,Collections,"abc classic-fit pant 30""",36,8.57%,$364.80
"30""",Inseam,"abc classic-fit pant 30""",36,8.57%,$364.80
Abc,Collections,Abc slim fit pant 32,35,46.88%,"$1,918.72"
32,Size,Abc slim fit pant 32,35,46.88%,"$1,918.72"
abc,Collections,abc slim men,28,15.38%,$460.80
men,Gender,abc slim men,28,15.38%,$460.80
abc,Collections,"abc slim-fit pant 34""",28,15.38%,$736.00
"34""",Inseam,"abc slim-fit pant 34""",28,15.38%,$736.00
align,Collections,align 25 in,56,14.29%,$854.30
25,Size,align 25 in,56,14.29%,$854.30
align,Collections,align leggings 28 inch,47,15.56%,$706.00
leggings,Category,align leggings 28 inch,47,15.56%,$706.00
28,Size,align leggings 28 inch,47,15.56%,$706.00
align,Collections,align ribbed crop,64,17.74%,"$1,042.50"
align,Collections,align tank top white,74,28.38%,"$1,458.80"
white,Color name,align tank top white,74,28.38%,"$1,458.80"
All yours,Collections,All yours c,56,12.73%,$364.00
All yours,Collections,All yours ta,48,12.50%,$278.40
at ease,Collections,at ease s,48,22.73%,$995.10
s,Size,at ease s,48,22.73%,$995.10
Bike,Activity,Bike shorts 4,33,6.06%,$128.00
shorts,Category,Bike shorts 4,33,6.06%,$128.00
4,Size,Bike shorts 4,33,6.06%,$128.00
shorts,Category,biker shorts 4 in,36,2.78%,$64.00
4,Size,biker shorts 4 in,36,2.78%,$64.00
black,Color name,black hoodie hots,32,0.00%,$0.00
black,Color name,black hotly hots,37,0.00%,$0.00
black,Color name,black leggings with side pockets,26,20.83%,$640.00
leggings,Category,black leggings with side pockets,26,20.83%,$640.00
black,Color name,black lulu skirt,37,8.11%,$332.00
black,Color name,black shorts kids,41,2.44%,$68.00
shorts,Category,black shorts kids,41,2.44%,$68.00
black,Color name,black women leggings,34,23.53%,$813.60
women,Category,black women leggings,34,23.53%,$813.60
leggings,Category,black women leggings,34,23.53%,$813.60
black,Color name,black womens pants,54,7.84%,$434.30
pants,Category,black womens pants,54,7.84%,$434.30
lichen lime,Color name,lichen lime,372,13.74%,"$2,827.00"
tank tops,Category,built in bra tank tops,21,9.52%,$243.00
align,Collections,camo align legging,37,5.41%,$196.00
hiking,Activity,cargo hiking short,38,7.89%,$206.00
short,Length,cargo hiking short,38,7.89%,$206.00
pants,Category,city pants women,23,17.39%,$403.15
women,Category,city pants women,23,17.39%,$403.15
commission,Collections,commission classic-fit pant 32 warpstreme,34,36.36%,"$1,829.00"
32,Size,commission classic-fit pant 32 warpstreme,34,36.36%,"$1,829.00"
hiking,Activity,convertible high rise hiking jogger,32,12.50%,$742.50
Dance,Activity,Dance studio cr,56,7.14%,$440.00
Dance studio,Collections,Dance studio cr,56,7.14%,$440.00
dark red,Color name,dark red hotty hot,34,9.09%,$185.00
red,Color Family,dark red hotty hot,34,9.09%,$185.00
hotty hot,Collections,dark red hotty hot,34,9.09%,$185.00
define,Collections,define cropped jacket july,75,27.78%,"$2,261.25"
cropped,Length,define cropped jacket july,75,27.78%,"$2,261.25"
define,Collections,define jacket grey,58,8.62%,$522.00
grey,Color Family,define jacket grey,58,8.62%,$522.00
abc,Collections,abc slimfit,127,39.32%,"$6,750.80"
green,Color Family,emerald green belt bag,30,13.33%,$199.60
scuba,Collections,lilac scuba,122,20.00%,"$2,709.80"
espresso,Color name,espresso wunder train,68,22.39%,"$1,383.95"
wunder train,Collections,espresso wunder train,68,22.39%,"$1,383.95"
everywhere,Collections,everywhere belt bag 1 l,70,45.71%,"$1,284.90"
l,Size,everywhere belt bag 1 l,70,45.71%,"$1,284.90"
everywhere,Collections,everywhere belt bag l1,47,36.17%,$631.80
long,Length,it's rulu run long sleeve shirt,37,10.81%,$240.50
flicker pace utility blue multi,Color name,flicker pace utility blue multi,31,6.90%,$201.00
utility blue,Color name,flicker pace utility blue multi,31,6.90%,$201.00
blue,Color Family,flicker pace utility blue multi,31,6.90%,$201.00
golf,Activity,golf shirt men’s,26,24.00%,$480.00
align,Collections,hi rise align,48,23.91%,"$1,107.50"
Align,Collections,Align Hig,81,30.38%,"$2,126.30"
full,Size,high rise jogger full length,104,41.00%,"$3,695.40"
shorts,Category,high rise shorts with pocket,22,22.73%,$389.00
28,Size,ribbed 28,80,18.75%,"$1,655.30"
Hold tight,Collections,Hold tight cro,68,23.08%,$649.80
full,Size,hoodie full zip,39,15.38%,$783.68
black,Color name,black sc,77,12.99%,"$1,190.00"
shorts,Category,hottie got shorts,53,3.77%,$204.00
2,Size,hottie hot 2,39,7.69%,$261.80
hotty hot,Collections,hotty hot 2.,49,4.08%,$183.60
"32""",Inseam,"lululemon align™ high-rise mini-flared pant 32""",254,10.89%,"$3,422.45"
free to be,Collections,free to be long line bra,56,10.91%,$406.90
long,Length,free to be long line bra,56,10.91%,$406.90
pink,Color Family,hotty hots pink,35,0.00%,$0.00
running,Activity,running arm,69,26.09%,$597.55
green,Color Family,kelly green long sleeve,42,7.50%,$234.00
long,Length,kelly green long sleeve,42,7.50%,$234.00
Align,Collections,Align a,64,19.35%,$670.90
leggings,Category,leggings logo on leg,23,4.35%,$59.00
License to train,Collections,License to train linerless shorts,56,30.19%,"$1,477.00"
shorts,Category,License to train linerless shorts,56,30.19%,"$1,477.00"
license to train,Collections,license to train relaxed fit,88,34.18%,"$2,215.50"
mini,Length,mini align,59,13.79%,$847.40
align,Collections,mini align,59,13.79%,$847.40
Lip gloss,Color name,Lip gloss scu,44,0.00%,$0.00
Women,Category,Women legg,58,5.17%,$294.00
long,Length,long sleeve run,63,14.29%,$630.65
long,Length,long sleeve s,60,5.08%,$234.00
s,Size,long sleeve s,60,5.08%,$234.00
loungeful,Collections,loungeful high rise,61,17.24%,$895.95
short,Length,track that mid-rise lined short 5,65,11.11%,$411.00
5,Size,track that mid-rise lined short 5,65,11.11%,$411.00
love,Collections,love crew neck tshirt,46,32.56%,$721.00
define,Collections,define jecket,55,12.73%,$796.50
shirts,Category,fitted shirts,55,1.85%,$79.00
joggers,Category,low rise joggers,36,5.56%,$171.50
red,Color Family,red swifty,55,3.64%,$156.00
swiftly,Collections,swiftly l,55,5.56%,$234.00
l,Size,swiftly l,55,5.56%,$234.00
Women,Category,Women long,55,9.26%,$486.00
long,Length,Women long,55,9.26%,$486.00
Golf,Activity,Golf pa,54,11.11%,$848.00
align,Collections,lululemon align shirt,34,5.88%,$88.00
short,Length,lululemon align™ super-high-rise short,39,5.13%,$78.00
shorts,Category,lululemon hottie hot shorts,31,3.23%,$68.00
magenta purple,Color name,magenta purple legging,21,4.76%,$59.00
purple,Color Family,magenta purple legging,21,4.76%,$59.00
cropped,Length,shirt cropped,52,1.92%,$48.00
swiftly,Collections,swiftly gray,49,8.16%,$243.00
abc,Collections,men’s abc classic,47,27.66%,"$2,393.60"
bone,Color name,men’s bone pants,20,10.00%,$188.00
pants,Category,men’s bone pants,20,10.00%,$188.00
city sweat,Collections,men’s city sweat,49,16.33%,$982.80
grey,Color Family,grey tops,47,6.38%,$184.00
shirts,Category,shirts swiftly,47,2.13%,$68.00
swiftly,Collections,shirts swiftly,47,2.13%,$68.00
align,Collections,align shir,46,0.00%,$0.00
black,Color name,black body,46,6.52%,$314.00
shirts,Category,camo shirts,45,6.67%,$167.15
city sweat,Collections,mens city sweat jogger,84,42.17%,"$4,145.60"
commission,Collections,mens commission slim,33,21.21%,$867.66
ABC,Collections,ABC 30”,44,20.93%,"$1,228.80"
black,Color name,black sculpt,44,17.07%,$400.30
sculpt,Collections,black sculpt,44,17.07%,$400.30
pistachio,Color name,pistachio swiftly,44,6.82%,$207.90
swiftly,Collections,pistachio swiftly,44,6.82%,$207.90
pants,Category,mens pull on pants,78,24.32%,"$2,526.80"
White,Color name,White pullover,44,6.82%,$291.15
leggings,Category,patterned leggings,43,2.38%,$98.00
pants,Category,alighn pants,42,7.14%,$255.00
shorts,Category,pacemaker shorts,42,19.05%,$875.00
red,Color Family,red hottie,42,2.38%,$68.00
mini,Length,mini everywhere,41,14.63%,$228.00
everywhere,Collections,mini everywhere,41,14.63%,$228.00
28,Size,tight 28,41,20.00%,$874.00
align,Collections,28” align,40,20.51%,$877.50
women,Category,down women,40,12.82%,$764.00
accessories,Category,men’s accessories,40,25.64%,$523.15
poolside,Color name,poolside swift,40,7.50%,$190.00
navy,Color Family,navy shorts men,39,5.13%,$127.00
shorts,Category,navy shorts men,39,5.13%,$127.00
men,Gender,navy shorts men,39,5.13%,$127.00
neon,Color Family,neon yellow skirt,32,18.75%,$294.00
yellow,Color Family,neon yellow skirt,32,18.75%,$294.00
pants,Category,nulu flare pants,30,10.34%,$152.25
skirts,Category,pace skirts,38,13.16%,$347.00
leggings,Category,smoky leggings,38,2.63%,$69.00
white,Color name,white leggin,38,7.89%,$295.00
yoga,Activity,nulu yoga short,38,5.71%,$127.00
short,Length,nulu yoga short,38,5.71%,$127.00
white,Color name,off white leggings,43,14.29%,$662.10
leggings,Category,off white leggings,43,14.29%,$662.10
women,Category,women nomad,37,2.78%,$128.00
nomad,Color name,women nomad,37,2.78%,$128.00
green,Color Family,green men,34,12.12%,$297.00
men,Gender,green men,34,12.12%,$297.00
shorts,Category,pastel shorts,34,0.00%,$0.00
black,Color name,black purses,32,18.75%,$456.00
commission,Collections,commission 9”,32,18.75%,$597.00
blue,Color Family,pool side blue shorts,29,3.45%,$68.00
shorts,Category,pool side blue shorts,29,3.45%,$68.00
poolside,Color name,poolside blue bra,36,8.57%,$218.00
blue,Color Family,poolside blue bra,36,8.57%,$218.00
poolside,Color name,poolside blue top,22,9.52%,$126.00
blue,Color Family,poolside blue top,22,9.52%,$126.00
short,Length,quick drying short,43,16.28%,$603.40
black,Color name,tank black,31,22.58%,$527.10
bags,Category,Woman’s bags,31,12.90%,$436.00
red,Color Family,red long sleeve shirts,61,20.34%,"$1,049.00"
long,Length,red long sleeve shirts,61,20.34%,"$1,049.00"
long sleeve shirts,Category,red long sleeve shirts,61,20.34%,"$1,049.00"
shirts,Category,red long sleeve shirts,61,20.34%,"$1,049.00"
joggers,Category,adapted joggers,29,10.34%,$362.00
red,Color Family,red sports bras,131,15.87%,$958.45
sports bras,Category,red sports bras,131,15.87%,$958.45
red,Color Family,red tennis skirts,19,5.26%,$78.00
tennis,Activity,red tennis skirts,19,5.26%,$78.00
skirts,Category,red tennis skirts,19,5.26%,$78.00
java,Color name,java bodysuit,29,17.24%,$346.00
black,Color name,black cano,27,0.00%,$0.00
running,Activity,running top women,28,17.86%,$395.00
women,Category,running top women,28,17.86%,$395.00
align,Collections,sale align shorts,28,10.71%,$159.65
shorts,Category,sale align shorts,28,10.71%,$159.65
scuba,Collections,scuba oversized fu,117,40.37%,"$5,206.25"
shorts,Category,sports shorts,26,3.85%,$78.00
travel,Size,backpack travel,25,4.00%,$73.50
men,Gender,shirt for men,35,5.71%,$275.00
short,Length,short sleeve women’s shirt,29,3.45%,$68.00
shorts,Category,shorts hot pink,36,0.00%,$0.00
pink,Color Family,shorts hot pink,36,0.00%,$0.00
shorts,Category,shorts size 16,30,3.33%,$107.00
16,Size,shorts size 16,30,3.33%,$107.00
yoga,Activity,shoulder cut out yoga,62,27.12%,$722.85
printed,Color Family,printed align,24,4.35%,$118.00
align,Collections,printed align,24,4.35%,$118.00
black,Color name,black swimsuits,23,8.70%,$197.00
swimsuits,Category,black swimsuits,23,8.70%,$197.00
Soft jersey,Collections,Soft jersey long,322,51.71%,"$11,668.50"
long,Length,Soft jersey long,322,51.71%,"$11,668.50"
bags,Category,backpack bags,22,4.55%,$198.00
speed up,Collections,speed up mr 4,36,8.33%,$340.00
4,Size,speed up mr 4,36,8.33%,$340.00
speed up,Collections,speed up short 4”,26,11.54%,$476.00
short,Length,speed up short 4”,26,11.54%,$476.00
speed up,Collections,speed up shorta,33,9.09%,$193.80
storm teal,Color name,storm teal align,184,26.44%,"$3,476.95"
align,Collections,storm teal align,184,26.44%,"$3,476.95"
swift speed,Collections,swift speed hr crop 21”,31,12.90%,$364.00
swiftly,Collections,swiftly tech rb tank,38,5.26%,$217.50
0,Size,tank top size 0,36,8.57%,$262.00
lunar rock,Color name,diamond dye mink bery lunar rock shadow grey,55,11.11%,$304.00
shadow grey,Color name,diamond dye mink bery lunar rock shadow grey,55,11.11%,$304.00
grey,Color Family,diamond dye mink bery lunar rock shadow grey,55,11.11%,$304.00
yoga,Activity,tank top yoga,21,9.52%,$126.00
tennis,Activity,tennis skirt black,42,14.63%,$346.00
black,Color name,tennis skirt black,42,14.63%,$346.00
shorts,Category,the linerless shorts,58,35.71%,"$1,196.40"
tidal teal,Color name,tidal teal swiftly,34,6.06%,$132.00
swiftly,Collections,tidal teal swiftly,34,6.06%,$132.00
long,Length,tight-fit lined long sleeve,42,2.38%,$138.00
love,Collections,v neck love,57,15.79%,$847.20
women,Category,women baller hat,63,31.15%,$501.60
women,Category,women cotton tee,42,4.88%,$145.00
women,Category,women hiking shorts,38,13.16%,$315.00
hiking,Activity,women hiking shorts,38,13.16%,$315.00
shorts,Category,women hiking shorts,38,13.16%,$315.00
women,Category,women pants with pockets,35,17.65%,$631.00
pants,Category,women pants with pockets,35,17.65%,$631.00
socks,Category,women’s compression socks,58,21.05%,$589.00
green,Color Family,women’s green shorts,30,6.90%,$156.00
shorts,Category,women’s green shorts,30,6.90%,$156.00
shirts,Category,women’s shirts on sale,20,15.00%,$106.90
cropped,Length,womens cropped jogger,34,15.63%,$825.00
printed,Color Family,womens printed leggings,7,14.29%,$276.00
leggings,Category,womens printed leggings,7,14.29%,$276.00
wunder train,Collections,wunder train 8 inch,31,10.71%,$182.40
8,Size,wunder train 8 inch,31,10.71%,$182.40
wunder train,Collections,wunder train dark lavender,28,22.22%,$549.50
dark lavender,Color name,wunder train dark lavender,28,22.22%,$549.50
wunder train,Collections,wunder train h,70,22.06%,"$1,334.00"
wunder train,Collections,wunder train high neck,224,30.84%,"$4,052.40"
we made too much,Category,we made too much womens tops,18,11.11%,$58.00
wunder train,Collections,wunder train hr short 4,40,22.50%,$566.40
short,Length,wunder train hr short 4,40,22.50%,$566.40
4,Size,wunder train hr short 4,40,22.50%,$566.40
24,Size,24,42,7.14%,$285.00
abc,Collections,abc slim fit warp,66,20.31%,"$2,432.00"
abc,Collections,"abc slim-fit trouser 30"" warpstreme",59,42.86%,"$3,616.00"
"30""",Inseam,"abc slim-fit trouser 30"" warpstreme",59,42.86%,"$3,616.00"
abc,Collections,"abc slim-fit trouser 32"" warpstreme",61,39.66%,"$3,302.40"
"32""",Inseam,"abc slim-fit trouser 32"" warpstreme",61,39.66%,"$3,302.40"
align,Collections,align crop tank top,44,9.09%,$202.65
align,Collections,align crop wide,32,3.13%,$89.00
Align,Collections,Align high rise bike short,25,8.00%,$118.40
bike,Activity,Align high rise bike short,25,8.00%,$118.40
short,Length,Align high rise bike short,25,8.00%,$118.40
align,Collections,align legging pockets,52,11.54%,$736.00
align,Collections,align super high rise pant,87,37.80%,"$3,185.00"
align,Collections,align tank wai,44,6.82%,$100.00
5,Size,city sleek 5 pocket high rise wide-leg pant light utilitech,19,11.11%,$247.00
align,Collections,align white tank,55,26.42%,$868.45
white,Color name,align white tank,55,26.42%,$868.45
align,Collections,align wide pant,63,14.75%,$834.60
hotty hot,Collections,hotty hot low rise 2.5 inch,27,11.11%,$204.00
all yours,Collections,all yours cotton shirt,47,19.57%,$705.85
at ease,Collections,at ease 1/2 zip,39,10.26%,$458.25
women,Category,back in action women,22,27.27%,$434.00
base pace,Collections,base pace biker shorts,27,7.41%,$72.15
shorts,Category,base pace biker shorts,27,7.41%,$72.15
energy,Collections,lululemon energy high-neck longline bra *medium support,18,11.11%,$58.00
bike,Activity,bike short 6,43,4.88%,$128.00
short,Length,bike short 6,43,4.88%,$128.00
6,Size,bike short 6,43,4.88%,$128.00
black,Color name,black high rise legging,27,11.11%,$285.00
black,Color name,black sale leggings,43,11.90%,$275.00
leggings,Category,black sale leggings,43,11.90%,$275.00
black,Color name,black shirt sleeve,43,4.65%,$136.00
blue,Color Family,blue women shorts,32,3.13%,$68.00
women,Category,blue women shorts,32,3.13%,$68.00
shorts,Category,blue women shorts,32,3.13%,$68.00
bone,Color name,bone color shorts,24,20.83%,$357.00
shorts,Category,bone color shorts,24,20.83%,$357.00
brown,Color Family,brown leggings with pockets,39,13.16%,$601.00
leggings,Category,brown leggings with pockets,39,13.16%,$601.00
leggings,Category,camo leggings women,16,6.25%,$216.00
women,Category,camo leggings women,16,6.25%,$216.00
chargefeel,Collections,chargefeel workout low,47,6.38%,$414.00
workout,Activity,chargefeel workout low,47,6.38%,$414.00
commission,Collections,commission slim-fit pant 32 warpstreme,39,23.08%,"$1,120.65"
32,Size,commission slim-fit pant 32 warpstreme,39,23.08%,"$1,120.65"
contour,Color name,contour wunder train,36,8.33%,$288.90
wunder train,Collections,contour wunder train,36,8.33%,$288.90
cropped,Length,cropped black leggings,28,7.14%,$176.00
black,Color name,cropped black leggings,28,7.14%,$176.00
leggings,Category,cropped black leggings,28,7.14%,$176.00
dance,Activity,dance studio crop pants,39,0.00%,$0.00
dance studio,Collections,dance studio crop pants,39,0.00%,$0.00
pants,Category,dance studio crop pants,39,0.00%,$0.00
leggings,Category,diamond eye leggings,58,7.02%,$325.00
leggings,Category,dimond dye leggings,44,4.55%,$138.00
Ebb to street,Collections,Ebb to street RB Crop,39,10.26%,$158.10
full,Size,full length align,52,7.69%,$229.90
align,Collections,full length align,52,7.69%,$229.90
define,Collections,define hoo,99,25.00%,"$3,168.00"
grey,Color Family,grey hottie hits,28,0.00%,$0.00
grey,Color Family,grey swiftly tech short sleeve,40,2.50%,$68.00
swiftly,Collections,grey swiftly tech short sleeve,40,2.50%,$68.00
short,Length,grey swiftly tech short sleeve,40,2.50%,$68.00
scuba,Collections,scuba brown,86,17.65%,"$1,818.15"
brown,Color Family,scuba brown,86,17.65%,"$1,818.15"
4,Size,high rise 4 inch shorts,38,10.53%,$275.00
shorts,Category,high rise 4 inch shorts,38,10.53%,$275.00
groove,Collections,high rise groove,64,18.75%,"$1,731.00"
leggings,Category,high rise leggings black,34,3.03%,$118.00
black,Color name,high rise leggings black,34,3.03%,$118.00
shorts,Category,hottie hot shorts sale,21,4.76%,$108.00
hotty hot,Collections,hotty hot 0,41,2.44%,$68.00
0,Size,hotty hot 0,41,2.44%,$68.00
running,Activity,lightweight stretch running tank top online only,10,11.11%,$49.00
hotty hot,Collections,hotty hot high rise 2.5”,37,8.11%,$204.00
short,Length,hr short 6,22,9.09%,$231.40
6,Size,hr short 6,22,9.09%,$231.40
pants,Category,jogger pants men,29,6.90%,$207.00
men,Gender,jogger pants men,29,6.90%,$207.00
Scuba,Collections,Scuba lip,69,11.76%,$915.00
cropped,Length,july cropped define jacket,25,20.83%,$443.50
define,Collections,july cropped define jacket,25,20.83%,$443.50
Swiftly,Collections,Swiftly lo,67,6.06%,$261.30
kohlrabi green,Color name,kohlrabi green belt bag,24,4.17%,$38.00
green,Color Family,kohlrabi green belt bag,24,4.17%,$38.00
leggings,Category,leggings align 25,32,12.50%,$333.00
align,Collections,leggings align 25,32,12.50%,$333.00
25,Size,leggings align 25,32,12.50%,$333.00
leggings,Category,leggings navy blue,28,10.71%,$324.00
navy,Color Family,leggings navy blue,28,10.71%,$324.00
blue,Color Family,leggings navy blue,28,10.71%,$324.00
long,Length,long aleeve,62,11.67%,$663.00
ABC,Collections,ABC trou,59,17.86%,"$1,388.80"
lip gloss,Color name,lip gloss sw,47,2.13%,$68.00
men,Gender,zip men,59,10.53%,$734.00
scuba,Collections,lipgloss oversized scuba,24,0.00%,$0.00
joggers,Category,lined joggers,58,16.36%,"$1,201.80"
long,Length,long line cloud bra,56,19.61%,$662.20
Long,Length,Long sleeve back in action,40,22.50%,$565.00
long,Length,long sleeve women top,46,13.04%,$367.00
women,Category,long sleeve women top,46,13.04%,$367.00
pink,Color Family,pink beltbag,55,16.36%,$362.50
align,Collections,lululemon align high-rise pant 28,95,48.35%,"$4,721.75"
28,Size,lululemon align high-rise pant 28,95,48.35%,"$4,721.75"
align,Collections,lululemon align pocket,44,17.07%,$755.45
we made too much,Category,we made too much women’s shirts,9,11.11%,$34.00
shirts,Category,we made too much women’s shirts,9,11.11%,$34.00
running,Activity,running ves,54,9.26%,$566.00
l,Size,Clean l,53,15.38%,$503.80
leggings,Category,made too much leggings,30,10.00%,$256.00
meadowsweet pink,Color name,meadowsweet pink pants,46,4.44%,$246.00
pink,Color Family,meadowsweet pink pants,46,4.44%,$246.00
pants,Category,meadowsweet pink pants,46,4.44%,$246.00
medium forest,Color name,medium forest legging,58,6.90%,$452.00
men,Gender,men abc joggers,47,25.53%,"$2,085.00"
abc,Collections,men abc joggers,47,25.53%,"$2,085.00"
joggers,Category,men abc joggers,47,25.53%,"$2,085.00"
training,Activity,training glove,49,29.79%,$538.30
5,Size,men’s 5 in shorts,36,8.33%,$193.80
shorts,Category,men’s 5 in shorts,36,8.33%,$193.80
board shorts,Attribute,men’s board shorts,39,17.95%,$564.00
shorts,Category,men’s board shorts,39,17.95%,$564.00
running,Activity,women's running,48,12.77%,$843.75
tights,Category,men’s half tights,28,10.71%,$451.00
Purple,Color Family,Purple le,47,2.13%,$98.00
Abc,Collections,"Abc 30""",46,35.56%,"$2,355.20"
"30""",Inseam,"Abc 30""",46,35.56%,"$2,355.20"
sculpt,Collections,crop sculpt,46,17.39%,$506.30
men,Gender,men pink,46,11.11%,$483.00
pink,Color Family,men pink,46,11.11%,$483.00
love,Collections,Women’s love,46,13.33%,$444.00
Black,Color name,Black ski,45,4.44%,$156.00
underwear,Category,men’s underwear sale,36,11.76%,$238.05
red,Color Family,red coat,45,4.55%,$338.00
men,Gender,men camo,44,4.55%,$136.00
pace breaker,Collections,mens pace breaker short,52,25.49%,"$1,163.00"
short,Length,mens pace breaker short,52,25.49%,"$1,163.00"
pink,Color Family,pink leggin,44,4.55%,$167.00
running,Activity,mens running pants,74,33.33%,"$3,270.60"
pants,Category,mens running pants,74,33.33%,"$3,270.60"
shorts,Category,"mens shorts 5""",40,17.95%,$652.00
"5""",Inseam,"mens shorts 5""",40,17.95%,$652.00
cropped,Length,cropped white,43,2.33%,$48.00
white,Color name,cropped white,43,2.33%,$48.00
align,Collections,curve align,43,9.30%,$291.50
hiking,Activity,hiking skirts,42,16.67%,$364.15
skirts,Category,hiking skirts,42,16.67%,$364.15
white,Color name,white slide,42,4.76%,$116.00
swiftly,Collections,mint swiftly tech 2.0,38,0.00%,$0.00
abc,Collections,abc comm,40,2.50%,$148.00
abc,Collections,skinny abc,40,12.50%,$620.80
hiking,Activity,hiking henley,39,2.70%,$39.00
sneakers,Attribute,women's sneakers,39,7.69%,$345.00
null,Color Family,null,62,14.75%,$715.00
9,Size,liner 9,38,10.53%,$254.00
hats,Category,men's hats,38,26.32%,$366.00
orange,Color Family,orange hottie hots,37,0.00%,$0.00
blue,Color Family,blue coats,36,0.00%,$0.00
long,Length,long tennis,36,5.56%,$142.00
tennis,Activity,long tennis,36,5.56%,$142.00
pace breaker,Collections,pace breaker 9 inch,37,18.92%,$985.00
9,Size,pace breaker 9 inch,37,18.92%,$985.00
Pace Breaker,Collections,"Pace Breaker Short 7"" *LL",46,10.87%,$533.80
Short,Length,"Pace Breaker Short 7"" *LL",46,10.87%,$533.80
"7""",Inseam,"Pace Breaker Short 7"" *LL",46,10.87%,$533.80
yellow,Color Family,bright yellow,35,5.71%,$78.00
pants,Category,maroon pants,35,2.86%,$58.65
scuba,Collections,sweatshirt scuba,35,17.14%,$728.00
men,Gender,men polos,34,11.76%,$313.00
pink,Color Family,pink lulu shorts,32,0.00%,$0.00
shorts,Category,pink lulu shorts,32,0.00%,$0.00
pink,Color Family,pink scuba hoodie,62,22.95%,"$1,735.10"
scuba,Collections,pink scuba hoodie,62,22.95%,"$1,735.10"
pink,Color Family,pink shirt men,43,11.90%,$288.00
men,Gender,pink shirt men,43,11.90%,$288.00
invigorate,Collections,invigorate high-rise,33,3.13%,$39.00
