Matched Shingle,Entity,Search Query,Visits,Conversion,Revenue
shorts,Category,high rise shorts,16109,8.22%,"$103,176.32"
wunder train,Collections,wunder train 25,20092,9.88%,"$197,055.69"
25,Size,wunder train 25,20092,9.88%,"$197,055.69"
shorts,Category,track that shorts,16945,7.55%,"$94,062.34"
sports bras,Category,lululemon sports bras,14314,7.95%,"$73,697.35"
purple,Color Family,purple,17862,5.56%,"$87,124.40"
leggings,Category,leggings align,14605,6.07%,"$98,430.75"
align,Collections,leggings align,14605,6.07%,"$98,430.75"
align,Collections,align 6 shorts,15853,9.67%,"$109,549.70"
6,Size,align 6 shorts,15853,9.67%,"$109,549.70"
shorts,Category,align 6 shorts,15853,9.67%,"$109,549.70"
swiftly,Collections,swiftly tech long sleeve,23570,15.70%,"$292,170.21"
long,Length,swiftly tech long sleeve,23570,15.70%,"$292,170.21"
dance,Activity,dance pants,21080,9.18%,"$238,912.15"
pants,Category,dance pants,21080,9.18%,"$238,912.15"
atomic purple,Color name,atomic purple,15675,7.83%,"$99,441.00"
purple,Color Family,atomic purple,15675,7.83%,"$99,441.00"
align,Collections,align tank top,21803,15.98%,"$221,943.53"
everywhere,Collections,everywhere belt bag black,18922,15.16%,"$132,386.90"
black,Color name,everywhere belt bag black,18922,15.16%,"$132,386.90"
speed up,Collections,speed up 2.5,17098,8.69%,"$109,802.85"
black,Color name,black shorts,17857,6.96%,"$90,260.20"
shorts,Category,black shorts,17857,6.96%,"$90,260.20"
women,Category,women shorts,13334,7.17%,"$74,805.40"
shorts,Category,women shorts,13334,7.17%,"$74,805.40"
5,Size,track that 5,13874,8.19%,"$86,713.90"
Scuba,Collections,Scuba Oversized Half-Zip Hoodie,22900,19.50%,"$519,971.40"
sports bras,Category,sports bras,15550,8.05%,"$87,096.25"
red,Color Family,red,17828,6.29%,"$97,570.60"
define,Collections,define jacket luon,39912,26.23%,"$1,167,308.25"
sports bras,Category,women's sports bras,14615,13.50%,"$134,730.62"
tidal teal,Color name,tidal teal,10443,5.74%,"$44,799.80"
golf,Activity,golf skirt,13211,8.02%,"$88,847.94"
base pace,Collections,base pace,14596,10.45%,"$105,570.10"
align,Collections,align pants,15676,10.28%,"$177,949.35"
pants,Category,align pants,15676,10.28%,"$177,949.35"
sculpt,Collections,sculpt,16089,10.96%,"$113,999.73"
scuba,Collections,half zip scuba,26606,16.97%,"$530,558.15"
pitch blue,Color name,pitch blue,17735,9.23%,"$148,724.05"
blue,Color Family,pitch blue,17735,9.23%,"$148,724.05"
wunder puff,Collections,wunder puff,26179,14.31%,"$612,932.40"
pistachio,Color name,pistachio,13217,7.58%,"$63,660.65"
kohlrabi green,Color name,kohlrabi green,11921,8.24%,"$65,885.25"
green,Color Family,kohlrabi green,11921,8.24%,"$65,885.25"
align,Collections,align jogger,20239,15.99%,"$322,536.66"
leggings,Category,leggings black,15613,11.15%,"$177,832.25"
black,Color name,leggings black,15613,11.15%,"$177,832.25"
white,Color name,white shorts,14446,7.51%,"$79,634.70"
shorts,Category,white shorts,14446,7.51%,"$79,634.70"
align,Collections,camo align leggings,14500,5.88%,"$95,267.30"
leggings,Category,camo align leggings,14500,5.88%,"$95,267.30"
solar orange,Color name,solar orange,10234,5.78%,"$44,589.07"
orange,Color Family,solar orange,10234,5.78%,"$44,589.07"
license to train,Collections,license to train,23959,19.67%,"$434,987.55"
